n_genes,n_cells,n_gpus,batch_size,time,gpu_used_memory_mb
10000,10000,4,100,3.15658354759216,1918.0
10000,10000,4,200,2.22793054580688,1946.0
10000,10000,4,500,1.80549240112305,2054.0
10000,10000,4,1000,1.81340360641479,2230.0
10000,100000,4,100,20.9583656787872,2226.0
10000,100000,4,200,18.4450831413269,2572.0
10000,100000,4,500,15.9049186706543,3590.0
10000,100000,4,1000,16.5845150947571,5306.0
10000,1000000,4,100,430.149268627167,5316.0
10000,1000000,4,200,363.118414878845,8758.0
10000,1000000,4,500,358.330482721329,19044.0
10000,1000000,4,1000,364.975075483322,36214.0
1000,10000,8,100,0.267024517059326,1958.0
1000,10000,8,200,0.253506660461426,1992.0
1000,10000,8,500,0.357184886932373,2100.0
1000,10000,8,1000,0.449583768844604,2276.0
1000,100000,8,100,1.68749666213989,2276.0
1000,100000,8,200,1.44049263000488,2616.0
1000,100000,8,500,2.56117558479309,3642.0
1000,100000,8,1000,3.90535664558411,5354.0
1000,1000000,8,100,26.2728455066681,5372.0
1000,1000000,8,200,20.2705030441284,8804.0
1000,1000000,8,500,26.6982734203339,19102.0
1000,1000000,8,1000,39.2688100337982,36270.0
5000,10000,8,100,0.842101097106934,1950.0
5000,10000,8,200,0.715452432632446,1982.0
5000,10000,8,500,0.800458431243896,2088.0
5000,10000,8,1000,0.812761068344116,2262.0
5000,100000,8,100,6.38625001907349,2266.0
5000,100000,8,200,6.50982904434204,2602.0
5000,100000,8,500,7.20775365829468,3626.0
5000,100000,8,1000,6.79881858825684,5336.0
5000,1000000,8,100,121.713533401489,5348.0
5000,1000000,8,200,101.729671239853,8786.0
5000,1000000,8,500,133.66156244278,19082.0
5000,1000000,8,1000,127.79331111908,36246.0
10000,10000,8,100,1.97891879081726,1922.0
10000,10000,8,200,1.56213235855103,1962.0
10000,10000,8,500,1.46920537948608,2068.0
10000,10000,8,1000,1.43894147872925,2244.0
10000,100000,8,100,14.3231031894684,2242.0
10000,100000,8,200,13.1861910820007,2582.0
10000,100000,8,500,16.084212064743,3606.0
10000,100000,8,1000,14.570549249649,5310.0
10000,1000000,8,100,360.113026857376,5330.0
10000,1000000,8,200,302.156665086746,8764.0
10000,1000000,8,500,324.943643569946,19060.0
10000,1000000,8,1000,304.26948094368,36222.0
